fold,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,f1
2,,0.1,2,10,True,0.7131494398893781
2,,0.1,5,10,True,0.7131494398893781
2,,0.1,10,10,True,0.7131494398893781
2,,0.25,2,1,True,0.8366888155829069
2,,0.25,5,1,True,0.8209898591775666
2,,0.25,10,1,True,0.8338361498442165
2,,0.25,2,2,True,0.8084507406328785
2,,0.25,5,2,True,0.8147007635058967
2,,0.25,10,2,True,0.8429410224480968
2,,0.25,2,5,True,0.8087676595731839
2,,0.25,5,5,True,0.8087676595731839
2,,0.25,10,5,True,0.8087676595731839
2,,0.25,2,10,True,0.7512574904883417
2,,0.25,5,10,True,0.7512574904883417
2,,0.25,10,10,True,0.7512574904883417
2,,0.5,2,1,True,0.8343755713147101
2,,0.5,5,1,True,0.8434393355199706
2,,0.5,10,1,True,0.8407372065322795
2,,0.5,2,2,True,0.846340178166362
2,,0.5,5,2,True,0.8386676480149408
2,,0.5,10,2,True,0.840140167249982
2,,0.5,2,5,True,0.8235831593573867
2,,0.5,5,5,True,0.8235831593573867
2,,0.5,10,5,True,0.8235831593573867
2,,0.5,2,10,True,0.7772200753748879
2,,0.5,5,10,True,0.7772200753748879
2,,0.5,10,10,True,0.7772200753748879
3,5.0,sqrt,2,1,True,0.5922616191932757
3,5.0,sqrt,5,1,True,0.598261667656937
3,5.0,sqrt,10,1,True,0.5821144810598059
3,5.0,sqrt,2,2,True,0.5909060088959
3,5.0,sqrt,5,2,True,0.594577483832379
3,5.0,sqrt,10,2,True,0.6060827082829319
3,5.0,sqrt,2,5,True,0.6045198290562428
3,5.0,sqrt,5,5,True,0.6045198290562428
3,5.0,sqrt,10,5,True,0.6045198290562428
3,5.0,sqrt,2,10,True,0.593016183336329
3,5.0,sqrt,5,10,True,0.593016183336329
3,5.0,sqrt,10,10,True,0.593016183336329
3,5.0,log2,2,1,True,0.3394013011981067
3,5.0,log2,5,1,True,0.36356327069738315
3,5.0,log2,10,1,True,0.33464216931289725
3,5.0,log2,2,2,True,0.3506934215829687
3,5.0,log2,5,2,True,0.3450926717667377
3,5.0,log2,10,2,True,0.3367271025206016
3,5.0,log2,2,5,True,0.3504191622731431
3,5.0,log2,5,5,True,0.3504191622731431
3,5.0,log2,10,5,True,0.3504191622731431
3,5.0,log2,2,10,True,0.3505732161333464
3,5.0,log2,5,10,True,0.3505732161333464
3,5.0,log2,10,10,True,0.3505732161333464
3,5.0,0.1,2,1,True,0.6794639646978883
3,5.0,0.1,5,1,True,0.6738999719829866
3,5.0,0.1,10,1,True,0.6728909897456038
3,5.0,0.1,2,2,True,0.6818681488699736
3,5.0,0.1,5,2,True,0.6777180623846573
3,5.0,0.1,10,2,True,0.6844118344086085
3,5.0,0.1,2,5,True,0.6673164893339799
3,5.0,0.1,5,5,True,0.6673164893339799
3,5.0,0.1,10,5,True,0.6673164893339799
3,5.0,0.1,2,10,True,0.649547028650731
3,5.0,0.1,5,10,True,0.649547028650731
3,5.0,0.1,10,10,True,0.649547028650731
3,5.0,0.25,2,1,True,0.7776809741957449
3,5.0,0.25,5,1,True,0.7786588239615249
3,5.0,0.25,10,1,True,0.7732340495596592
3,5.0,0.25,2,2,True,0.7746398587167631
3,5.0,0.25,5,2,True,0.7749703898622498
3,5.0,0.25,10,2,True,0.7819861844707997
3,5.0,0.25,2,5,True,0.7847453298139239
3,5.0,0.25,5,5,True,0.7847453298139239
3,5.0,0.25,10,5,True,0.7847453298139239
3,5.0,0.25,2,10,True,0.7651703843625915
3,5.0,0.25,5,10,True,0.7651703843625915
3,5.0,0.25,10,10,True,0.7651703843625915
3,5.0,0.5,2,1,True,0.8243151552428609
3,5.0,0.5,5,1,True,0.8196704370874837
3,5.0,0.5,10,1,True,0.815344393444588
3,5.0,0.5,2,2,True,0.811467104560594
3,5.0,0.5,5,2,True,0.8157666071601334
3,5.0,0.5,10,2,True,0.8176001846038525
3,5.0,0.5,2,5,True,0.8125073777373684
3,5.0,0.5,5,5,True,0.8125073777373684
3,5.0,0.5,10,5,True,0.8125073777373684
3,5.0,0.5,2,10,True,0.786459022583188
3,5.0,0.5,5,10,True,0.786459022583188
3,5.0,0.5,10,10,True,0.786459022583188
3,10.0,sqrt,2,1,True,0.745983879376612
3,10.0,sqrt,5,1,True,0.7696123852632735
3,10.0,sqrt,10,1,True,0.778096596182158
3,10.0,sqrt,2,2,True,0.7798978911503684
3,10.0,sqrt,5,2,True,0.7773448513403609
3,10.0,sqrt,10,2,True,0.7473285923276749
3,10.0,sqrt,2,5,True,0.7585118243871609
