max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,avg_f1,std_f1,avg_fpr,std_fpr,avg_fnr,std_fnr
5.0,0.25,5,10,False,0.799893917183208,0.063782249163574,0.028967039699521753,0.0059260185539357245,0.2104510324044168,0.06471531637526368
5.0,0.25,5,10,True,0.7826455644259782,0.06863293059681433,0.028615529875403833,0.005039315267810358,0.22892725338839326,0.06789711164801254
5.0,0.25,10,1,False,0.8038201572035467,0.05927741932996373,0.029556049324230484,0.006037447670427009,0.20918550445410763,0.06343951383437092
5.0,0.25,10,1,True,0.7864129567103989,0.06649858129140118,0.029514652682421365,0.004341408569346729,0.22218030209952083,0.0648385890112314
5.0,0.25,10,2,False,0.8062784721476689,0.05711484690013284,0.02909694928511506,0.005805699648243491,0.20665962453692352,0.06253763861325037
5.0,0.25,10,2,True,0.7755169115802574,0.06400551842489521,0.030346290325903663,0.004831629012527896,0.2344422068614222,0.06171393676391177
5.0,0.25,10,5,False,0.8117145697202132,0.06025221868019719,0.028170179736300826,0.00633880159058227,0.20172691232160286,0.06529698033464343
5.0,0.25,10,5,True,0.7870055954488515,0.06709952594196394,0.02936319220380649,0.004966589375267419,0.22119662997454442,0.06446362951898892
5.0,0.25,10,10,False,0.799893917183208,0.063782249163574,0.028967039699521753,0.0059260185539357245,0.2104510324044168,0.06471531637526368
5.0,0.25,10,10,True,0.7826455644259782,0.06863293059681433,0.028615529875403833,0.005039315267810358,0.22892725338839326,0.06789711164801254
5.0,0.5,2,1,False,0.8122391048559334,0.04887618057512512,0.029691544278630917,0.006926310623957651,0.19878362631154972,0.05416213888955575
5.0,0.5,2,1,True,0.7926969146238039,0.06676503980087735,0.02923155593523482,0.005014154551428854,0.21563768064230399,0.06806857758293157
5.0,0.5,2,2,False,0.8099120711683059,0.05723472617276446,0.03006502191160501,0.0074530676061512315,0.20305122465523445,0.06725077484170361
5.0,0.5,2,2,True,0.8036022771643319,0.05546183096090762,0.02873283882837165,0.004556266833317892,0.20868713119175628,0.0583746855404324
5.0,0.5,2,5,False,0.8140961223170523,0.04608108162326709,0.02958527139895976,0.006153300952994277,0.1987655103695207,0.054618888147340124
5.0,0.5,2,5,True,0.8092613066851492,0.061847136918472795,0.02798382575510288,0.005078003477881283,0.20126218295159232,0.06606515413294402
